filename,n_grains,median_ecd_count_mm,meanw_ecd_area_mm,count_Medplus_pct,count_Fine_pct,count_VFine_pct,count_Silt_pct,area_Medplus_pct,area_Fine_pct,area_VFine_pct,area_Silt_pct
LLCR05-02-4_2271_cp_masks.png,737,0.1151,0.2751,9.0,33.8,45.0,12.2,41.5,41.1,16.2,1.3
LLCR05-02-5_2271_cp_masks.png,709,0.1181,0.2891,9.3,35.8,44.6,10.3,43.2,40.8,14.9,1.1
OGLU2A-01-1_2271_cp_masks.png,544,0.0928,0.194,3.3,27.6,47.1,22.1,18.7,52.5,25.1,3.7
OGLU2A-01-2_2271_cp_masks.png,667,0.0875,0.1691,2.1,23.1,49.5,25.3,12.9,49.6,32.5,5.0
OGLU2A-01-3_2271_cp_masks.png,704,0.0803,0.1587,1.0,19.3,48.9,30.8,6.8,49.9,36.4,6.9
OGLU2A-01-4_2271_cp_masks.png,303,0.1243,0.236,12.5,37.0,29.0,21.5,39.4,49.6,9.3,1.8
OGLU2A-01-5_2271_cp_masks.png,609,0.0883,0.1817,2.5,21.3,49.3,26.9,15.9,47.1,31.8,5.2
OGLU2A-02-1_2271_cp_masks.png,665,0.0801,0.1542,0.8,18.9,50.8,29.5,5.9,48.4,38.8,6.8
OGLU2A-02-2_2271_cp_masks.png,644,0.0829,0.1545,1.1,18.6,54.3,25.9,7.9,45.5,40.5,6.1
OGLU2A-03-3_2271_cp_masks.png,693,0.089,0.1465,0.6,24.4,50.9,24.1,3.9,53.3,37.7,5.1
OGLU2A-04-4_2271_cp_masks.png,676,0.0844,0.1585,0.7,24.6,48.7,26.0,5.3,55.7,33.3,5.6
OGLU2A-05-5_2271_cp_masks.png,772,0.0764,0.1525,0.6,16.3,50.6,32.4,6.5,43.6,41.5,8.4
OGLU2B-01-1_2271_cp_masks.png,414,0.113,0.2018,5.1,37.9,41.8,15.2,20.5,59.9,17.5,2.1
OGLU2B-01-2_2271_cp_masks.png,482,0.1066,0.202,5.0,35.9,45.0,14.1,20.2,58.7,19.3,1.8
OGLU2B-01-3_2271_cp_masks.png,739,0.0726,0.1718,2.2,14.6,46.1,37.1,17.3,38.2,35.7,8.8
OGLU2B-01-4_2271_cp_masks.png,672,0.0734,0.1727,1.5,18.6,45.5,34.4,11.0,50.1,31.0,7.9
OGLU2B-01-5_2271_cp_masks.png,409,0.1194,0.216,6.8,40.1,36.9,16.1,26.4,56.5,15.1,2.0
OGLU2B-02-1_2271_cp_masks.png,587,0.103,0.1526,0.3,34.8,48.7,16.2,1.6,65.1,30.4,3.0
OGLU2B-02-2_2271_cp_masks.png,749,0.0848,0.1507,0.8,19.5,51.5,28.2,5.7,46.4,41.2,6.7
OGLU2B-02-3_2271_cp_masks.png,471,0.1159,0.1869,3.8,39.9,42.0,14.2,15.0,62.8,20.3,1.9
OGLU2B-02-4_2271_cp_masks.png,675,0.0934,0.1503,1.0,24.0,53.9,21.0,6.0,50.6,39.0,4.5
OGLU2B-02-5_2271_cp_masks.png,888,0.0723,0.1373,0.6,14.5,47.6,37.3,4.6,41.6,43.1,10.7
OGLU2B-03-1_2271_cp_masks.png,359,0.1103,0.2408,9.5,33.7,31.2,25.6,37.4,48.5,11.3,2.8
OGLU2B-03-2_2271_cp_masks.png,623,0.0857,0.1706,1.3,20.9,56.3,21.5,10.3,46.7,38.2,4.7
OGLU2B-03-3_2271_cp_masks.png,483,0.1025,0.2099,4.3,30.8,45.8,19.0,23.3,50.6,23.6,2.5
OGLU2B-03-4_2271_cp_masks.png,615,0.0755,0.1946,2.4,17.6,48.0,32.0,18.2,44.4,30.4,7.1
OGLU2B-03-5_2271_cp_masks.png,558,0.076,0.2082,4.3,16.3,42.1,37.3,29.5,37.0,26.7,6.9
OGLU3B-01-1_2271_cp_masks.png,1089,0.0755,0.1116,0.0,7.8,63.9,28.3,0.0,23.6,66.7,9.7
OGLU3B-01-2_2271_cp_masks.png,852,0.0835,0.123,0.1,14.3,63.4,22.2,1.0,35.9,56.9,6.2
OGLU3B-01-3_2271_cp_masks.png,1060,0.0821,0.1091,0.0,9.2,67.5,23.3,0.0,23.6,68.7,7.7
OGLU3B-01-4_2271_cp_masks.png,956,0.0883,0.1119,0.0,12.7,66.0,21.3,0.0,28.5,65.3,6.1
OGLU3B-01-5_2271_cp_masks.png,1031,0.0824,0.1105,0.0,10.3,66.0,23.8,0.0,25.4,67.0,7.6
RGLL03-01-1_2271_cp_masks.png,438,0.1235,0.1657,1.6,47.5,46.6,4.3,6.0,68.6,24.8,0.6
RGLL03-01-2_2271_cp_masks.png,473,0.1018,0.1405,0.0,25.4,62.2,12.5,0.0,51.4,46.2,2.5
RGLL03-01-3_2271_cp_masks.png,645,0.0798,0.1343,0.5,10.9,65.0,23.7,4.5,31.9,56.9,6.7
RGLL03-01-4_2271_cp_masks.png,402,0.1129,0.1622,0.5,38.1,47.5,13.9,2.2,67.0,28.6,2.2
RGLL03-01-5_2271_cp_masks.png,395,0.1267,0.1849,2.8,49.4,41.3,6.6,11.5,67.1,20.5,0.9
RGLL03-02-1_2271_cp_masks.png,430,0.1059,0.1725,1.4,34.7,49.3,14.7,8.1,61.1,28.4,2.4
RGLL03-02-2_2271_cp_masks.png,523,0.0853,0.1519,1.0,14.1,60.8,24.1,7.6,37.5,49.3,5.6
RGLL03-02-3_2271_cp_masks.png,613,0.0879,0.1357,0.3,18.3,61.5,19.9,2.5,42.5,50.1,4.9
RGLL03-02-4_2271_cp_masks.png,580,0.091,0.1387,0.3,21.0,61.0,17.6,2.0,47.2,46.9,3.9
RGLL03-02-5_2271_cp_masks.png,539,0.0898,0.1451,0.9,18.9,62.2,18.0,6.2,41.6,47.9,4.3
